,Name,Price,Rating,Image
0,"Aspire Lite Premium Metal Laptop 11th Gen Intel Core Ci7-1165G7 Thin and Light Laptop (Windows 11 Home/16GB RAM/1TB SSD/MS Office) AL15-51, 39.62cm (15.6"") Full HD Display, Steel Gray, 1.59 KG","49,990",3.7 out of 5 stars,
1,"Predator Helios 16 Gaming Laptop (Intel Core i9 13900HX/32 GB Ram/1 TB SSD/RTX 4080 Graphics/Windows 11 Home) PH16-71, WQXGA Display, Abyssal Black, 2.7 KG","2,56,990",4.0 out of 5 stars,
2,"Aspire 5 Gaming Laptop Intel Core i7 13th Gen (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 2050) A514-56GM,14"" WUXGA Display, 1.56 KG","72,990",4.3 out of 5 stars,
3,"Aspire 5 Gaming Laptop Intel Core i7 13th Gen (Windows 11 Home/16 GB/512 GB SSD/4 GB Graphics/NVIDIA GeForce RTX 2050) A514-56GM, 14.0"" WUXGA Display, 1.56 KG","74,990",4.0 out of 5 stars,
4,"Swift 5 Intel Evo Premium 14 Inches Full Hd Ips Touch Display 11Th Gen Intel Core I7-1165G7 Processor Thin And Light Laptop 16Gb Lpddr4X 1Tb Ssd Backlit Keyboard Windows 11 Mso 2021, Green, Large","89,990",2.8 out of 5 stars,
5,"One 14 Laptop Intel Core i3-1115G4 (Windows 11 Home/8 GB RAM/256 GB SSD/Intel UHD Graphics) Z8-415 with 35.56 cm (14.0"") Full HD Display, 1.49 KG, Pure Silver","29,990",2.7 out of 5 stars,
6,PURA E NS14A6 Thin & Light 14 (35.56cm) Laptop (Intel Core - i3 10110U/4 GB/256GB SSD/Windows 10 Home/Intel UHD Graphics) 1.334 kg Metallic Black,"32,500",2.7 out of 5 stars,
7,Aspire 3 Thin and Light Laptop Intel Core i5 12th Generation (8GB/512 GB SSD/Windows 11 Home/MS Office/1.7 Kg/Silver) A315-59 with 15.6-inch (39.6 cms) Full HD Display,"41,900",3.6 out of 5 stars,
8,"Aspire Lite 12th Gen Intel Core i3-1215U Premium Metal Laptop (8GB RAM/512GB SSD/Windows 11 Home) AL15-52, 39.62cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 Kg","32,990",3.9 out of 5 stars,
9,"Aspire 5 12th Gen Intel Core i3 Laptop (Windows 11 Home/16 GB RAM/512 GB SSD) A515-57 with 15.6"" Full HD IPS Display, Fingerprint Reader, Backlit Keyboard, 1.76 KG, Steel Grey","39,990",5.0 out of 5 stars,
10,"Aspire 5 12th Gen Intel Core i5 Laptop (Windows 11 Home/8 GB RAM/512 GB SSD/MS Office) A515-57 with 15.6"" Full HD IPS Display, Fingerprint Reader, Backlit Keyboard, 1.76 KG, Steel Grey","46,990",3.8 out of 5 stars,
11,"Aspire Vero 13th Gen Intel Core i3 Eco-Friendly Laptop (16 GB RAM/512 GB SSD/Windows 11 Home/MS Office), AV14-52P 14"" Full HD IPS sRGB 100% Display, Marriana Blue, 1.5 KG","49,990",3.0 out of 5 stars,
12,"Aspire 3 14 Intel Core i3 N305 8-core Processor (8 GB/ 512 GB SSD/Windows 11 Home/MS Office) Pure Silver, A314-36M, 35.56 cm (14"") Full HD Display Laptop","32,990",3.8 out of 5 stars,
13,"Nitro 5 12th Gen Intel Core i5 Gaming Laptop with 39.62 cm (15.6"") FHD IPS Display (Windows 11 Home/16 GB RAM/512 GB SSD/RTX 3050 Graphics/144 Hz/RGB Backlit), AN515-58, 2.5 KG","69,990",4.2 out of 5 stars,
14,"Aspire 5 Thin and Light Laptop 13th Gen Intel Core i3-1315U (8 GB RAM/512 GB SSD/Windows 11 Home/MS Office), A515-58P 15.6"" Full HD Display, Steel Gray, Wi-Fi 6, 1.78 Kg","40,990",2.6 out of 5 stars,
15,"Aspire 5 13th Gen Intel Core i5 (16 GB RAM/512 GB SSD/Windows 11 Home/MS Office), A515-58M 15.6"" Full HD IPS 45% NTSC Display, Steel Gray, 1.75 KG","58,990",3.3 out of 5 stars,
16,"Windows 11 Home Victus Gaming Laptop,12Th Gen Intel Core I7-12650H,Nvidia RTX 3050 Gpu,15.6-Inch (39.6 Cm),75W Tgp,Fhd,IPS,144Hz,9 Ms Response Time,16Gb Ddr4,512Gb Ssd (Mso,Blue,2.29 Kg),Fa0188Tx","86,490",4.0 out of 5 stars,
17,"Laptop 15s, 12th Gen Intel Core i7-1255U, 15.6-inch (39.6 cm), FHD, 16GB DDR4, 512GB SSD, Intel Iris Xe Graphics, Backlit KB, Thin & Light (Win 11, MSO 2021, Silver, 1.69 kg), fq5190TU","67,800",3.5 out of 5 stars,
18,"Pavilion 11th Gen Intel Core i7 15.6 inches FHD Gaming Laptop (16GB RAM/512GB SSD/RTX 3050 4GB Graphics/144 Hz/B&O/Windows 10/MS Office/2.23Kg), 15-dk2076TX, Black","80,500",3.8 out of 5 stars,
19,"Pavilion 11th Gen Intel Core i7 Processor 15.6 inches (39cm) FHD Gaming Laptop (16GB/512GB SSD/Windows 11/NVIDIA RTX 3050 Graphics/MS Office/Shadow Black & Ultra Violet/2.23Kg), 15-dk2096TX","81,500",3.5 out of 5 stars,
20,"Newest 13th Generation Envy 2-in-1 Business Laptop, 15.6"" FHD Touchscreen, Intel Core i7-1355U, 64GB RAM, 2TB SSD, SD Card Reader, HDMI, Backlit KB, Wi-Fi 6, Windows 11 Pro, Stylus Pen","1,67,632",4.4 out of 5 stars,
21,"(Renewed) HP Intel Core i7 6700HQ 15.6-Inch (39.62 cms) 1920 X 1080 Laptop (16 GB/512 GB SSD/Windows/Intel HD Graphics & Nvidia 1000m/Grey/2.7 Kg), Zbook 15","54,990",5.0 out of 5 stars,
22,"(Renewed) HP Intel Omen Core i7 9th Gen 15.6-inches FHD Gaming Laptop 16GB/1TB HDD + 512GB SSD/Windows 10/NVIDIA RTX 2070 8GB Graphics/Shadow Black, 15-dh0138TX","78,990",1.7 out of 5 stars,
23,"Victus 12th Gen Intel Core i7 15.6 inch(39.6 cm) FHD Gaming Laptop (16GB RAM/512GB SSD/RTX 3050 4GB Graphics/144Hz/9ms Response Time/Win 11/MSO/Backlit KB/B&O Audio/Xbox Pass(30 Day)),15-fa0353TX","86,490",4.1 out of 5 stars,https://m.media-amazon.com/images/I/11hfR5Cq9GL._SS200_.png
24,"Pavilion 15, 13th Gen Intel Core i7-1360P, 15.6-inch (39.6 cm), FHD, 16GB DDR4, 1TB SSD, Intel Iris Xᵉ Graphics, FPR, Backlit KB, Audio by B&O (Win 11, MSO 2021, Silver, 1.74 kg), eg3036TU","89,990",3.8 out of 5 stars,
25,11th Gen Intel Core i7 15.6 inches(39.6cm) FHD Gaming Laptop (16GB RAM/512GB SSD/144Hz/4GB NVIDIA GeForce GTX 1650 Graphics/Windows 10 Home/MS Office/Shadow Black/2.28 Kg),"90,900",4.3 out of 5 stars,
26,"Pavilion 14, 11th Gen Intel Core i5 14 inches Thin and Light FHD, IPS, Micro-Edge, Anti-Glare Display Laptop (8GB/512GB SSD/Windows 10 Home/B&O Audio/MS Office/Natural Silver/1.41 kg), 14-dv0543TU","66,888",4.3 out of 5 stars,
27,"Newest 14"" HD Laptop, Intel Core i5-1035G1, Intel UHD Graphics, 8GB SDRAM, 256GB SSD, Natural Silver, Windows 10","65,191",4.1 out of 5 stars,
28,"2020 Pavilion x360 14"" FHD WLED Touchscreen 2-in-1 Convertible Laptop, Intel Core i5-1035G1 up to 3.6GHz, 8GB DDR4, 256GB SSD, 802.11ac, Bluetooth, Webcam, HDMI, Fingerprint Reader, Windows 10","78,211",4.5 out of 5 stars,
29,"(Refurbished) HP ProBook 6th Gen Intel Core i5 Thin & Light HD Laptop (8 GB RAM/256 GB SSD/14"" (35.6 cm) HD/Windows 10 Pro/MS Office/WiFi/Webcam/Intel Graphics)","18,999",5.0 out of 5 stars,
30,"Pavilion X360 14-Inch Convertible Touchscreen Laptop, 8th Gen Intel Core I5-8265U, 8 GB RAM, 512 GB Solid-State Drive, Windows 10 Home (14-cd1020nr, Natural Silver)","1,07,041",3.7 out of 5 stars,
31,"New 2020 HP 14"" FHD IPS LED 1080p Laptop Intel Core i5-1035G4 4GB DDR4 128GB SSD Windows 10 with S Mode","54,040",4.1 out of 5 stars,
32,"2020 HP Pavilion x360 2-in-1 Laptop Computer/ 14"" Full HD Touchscreen/ 10th Gen Intel Core i5-10210U Up to 4.1GHz/ 16GB DDR4 Memory/ 256GB PCIe SSD/ AC WiFi/ HDMI/ Gold/ Windows 10","98,707",4.5 out of 5 stars,
33,"(Refurbished) HP EliteBook 840 G2 14 inches Laptop (5th Gen Intel Core i5/8GB/256 GB SSD/Windows 10/MS office 2019/Integrated Graphics), Black, 1.9kg","19,999",2.9 out of 5 stars,
34,"14"" FHD IPS LED 1080p Laptop Intel Core i5-1035G4 8GB DDR4 128GB SSD Backlit Keyboard Windows 10 with S Mode","72,561",4.3 out of 5 stars,
35,"(Refurbished) HP EliteBook 840 G1 Intel i5 4th Gen 14 inches HD Laptop (8GB RAM/500 GB HDD/Wifi/Bluetooth 4.0/Windows 10 Pro/MS Office/Webcam/Integrated Graphics), 2.5kg","19,999",3.0 out of 5 stars,
36,"(Refurbished) HP ProBook Intel 6th Gen Core i5 14 inches FHD Screen Laptop (8GB RAM, 256GB SSD, HD Graphics, Windows 11 (Upgraded), MS Office, Black, Slim)","21,000",3.2 out of 5 stars,
37,"Envy 11th Gen Intel Core i5 14-inch(35.6 cm) WUXGA Thin & Light Laptop (16GB RAM/512GB SSD/4GB Graphics/Windows 10/MS Office/Finger Print Reader/Natural Silver/1.59 Kg), 14-eb0019TX","74,555",3.6 out of 5 stars,https://m.media-amazon.com/images/I/11hfR5Cq9GL._SS200_.png
38,"(Renewed) HP 14-dv0054TU Intel 11th Gen Core i5 Family 14-Inch (35.56 cms) 1920 x 1080 Thin and Light Laptop (512 GB/512 GB SSD/Windows 10 Home/MS Office/Silver/1.41 Kg), 14-dv0054TU","55,675",4.6 out of 5 stars,
39,"Envy 11th Gen Intel Core i5 14-inch(35.6 cm) WUXGA Thin & Light Laptop (16GB RAM/1TB SSD/4GB Graphics/Windows 10/MS Office/Finger Print Reader/Natural Silver/1.59 Kg), 14-eb0020TX","90,190",3.6 out of 5 stars,https://m.media-amazon.com/images/I/11hfR5Cq9GL._SS200_.png
40,"EliteBook 840 G8 14"" Notebook - Full HD - 1920 x 1080 - Intel Core i5 (11th Gen) i5-1145G7-16 GB RAM - 512 GB SSD - Intel Chip - Windows 10 Pro - Intel - English Keyboard - 14.50 Hour Batter","1,03,100",1.0 out of 5 stars,
41,"HP Business Laptop, 14"" HD Display, Intel Core i5-1135G7 Processor, Windows 11 Pro, 16GB RAM, 512GB SSD, Intel Iris Xe Graphics, HDMI, Type-C, SD media card reader, Long Battery Life, PC Mall USB Card","77,296",2.6 out of 5 stars,
42,"HP 2022 14"" HD Laptop, 11th Gen Intel Core i5-1135G7, 32GB RAM, 1TB PCIe SSD, Intel Iris Xe Graphics, HD Webcam, Windows 11, Silver, 32GB Snowbell USB Card","81,780",5.0 out of 5 stars,
43,HP 14S 11Th Gen Intel Core I5 14 Inches (35.6 Cms) Fhd Laptop (8Gb Ram/512Gb Ssd/Iris Xe Graphics/Backlit Keyboard/Windows 11 Home/LTE/Ms Office/ 1.49Kg/ Natural Silver) - 14S-Ef1001Tu,"60,999",3.8 out of 5 stars,
44,"(Refurbished) HP Intel ProBook 440 G5 14"" 35.6 cm Thin & Light HD Laptop Core i5-8th Gen/16 GB DDR4 RAM/512 GB SSD/Windows 11/MS Office/Wifi/Bluetooth 4.0/Webcam/Integrated UHD Graphics","26,500",2.6 out of 5 stars,
45,"(Refurbished) HP Intel ProBook 440 G5 14"" 35.6 cm Thin & Light HD Laptop -Core i5-8th Gen/8 GB DDR4 RAM/512 GB SSD/Windows 11/MS Office/Wifi/Bluetooth 4.0/Webcam/Integrated UHD Graphics","26,500",2.4 out of 5 stars,
46,"(Refurbished) Hp ProBook 440 G5 7th Gen Intel Core i5 Thin & Light HD Laptop (8 GB DDR4 RAM/256 GB SSD/14"" (35.6 cm) HD/Windows 11/MS Office/WiFi/Bluetooth/Webcam/Intel Graphics)","20,579",3.3 out of 5 stars,
47,"HP Laptop 14s, 12th Gen Intel Core i5-1235U, 14-inch (35.6 cm), FHD, 16GB DDR4, 512GB SSD, Intel Iris Xᵉ graphics, Backlit KB, Thin & light, Dual speakers (Win 11, MSO 2021, Silver, 1.46 kg), dy5005TU","65,900",4.0 out of 5 stars,https://m.media-amazon.com/images/I/11hfR5Cq9GL._SS200_.png
48,"HP Pavilion 14 11Th Gen Intel Core I5 16Gb Ram/512Gb Ssd 14 Inch (35.6Cm) IPS Anti-Glare Fhd&X1000 Wired USB Mouse with 3 Handy Buttons,Windows 11 Home","64,299",4.4 out of 5 stars,
49,"(Refurbished) HP Intel ProBook 440 G5 14"" 35.6 cm Thin & Light HD Laptop Core i5-8th Gen/8 GB DDR4 RAM/1 TB HDD/Windows 11/MS Office/Wifi/Bluetooth 4.0/Webcam/Integrated UHD Graphics","27,500",1.6 out of 5 stars,
50,"HP Pavilion 14 12th Gen Intel Core i5 8GB RAM/512GB SSD 14 inch(35.6cm) IPS Micro-Edge FHD Laptop/Intel Iris Xe Graphics/B&O/Win 11/Alexa Built-in/Backlit KB/MSO 2021/Natural Silver, 14-dv2053TU","60,900",4.2 out of 5 stars,https://m.media-amazon.com/images/I/11hfR5Cq9GL._SS200_.png
51,"(Refurbished) Hp EliteBook 840 G3 6th Gen Intel Core i5 Thin & Light HD Laptop (8 GB DDR4 RAM/256 GB SSD/14"" (35.6 cm)/Windows 11/MS Office/Wifi/Bluetooth/Webcam/Integrated Graphics)","28,417",3.3 out of 5 stars,
52,"HP Laptop 14s, 12th Gen Intel Core i3-1215U, 14-inch (35.6 cm), FHD, 8GB DDR4, 512GB SSD, Intel UHD Graphics, Thin & Light, Dual Speakers (Win 11, MSO 2021, Silver, 1.46 kg), dy5008TU","39,990",4.0 out of 5 stars,
53,"HP 255 G8 Laptop with AMD Athlon Silver 3050U APU/ 4GB Ram/ 1TB HDD/DOS/AMD Radeon Vega 8 Mobile Graphics/39.6 cm HD (1366 x 768), SVA, Anti-Glare WLED/Black/1 Year Onsite Warranty","24,490",3.2 out of 5 stars,
54,Lenovo E41-55 AMD 14-inch (35.56cm) HD Thin and Light Laptop (AMD Athlon Pro 3045B / 8GB RAM/ 1TB HDD/DOS/Integrated AMD Radeon Graphics/Iron Grey/ 1.59 kg),"24,990",3.3 out of 5 stars,
55,"HP 255 G9 (840T7PA) Notebook (AMD Athlon Silver-3050U/ 4GB RAM/ 256GB SSD/DOS/ 15.6"" Screen/ 1 Year Warranty), Black","20,000",3.7 out of 5 stars,
56,"HP 255 G8 AMD Athlon 3050 - (4 GB/256 GB SSD/DOS) 6X4B2PA#ACJ Notebook (15.6 inch, Black)","23,999",3.1 out of 5 stars,
