,Name,Price,Rating,Image
0, hp Intel Core i3 14 Inch Laptop ( Windows 11 …,"₹11,250.00",4.0 - 4.49,https://assets-mkpbg.gem.gov.in/img/othe/6505504/fd/fe/240g8front.jpg.67bde9fdfe.999x150x150.jpg
1, acer Intel Core i7 14 Inch Laptop ( Windows …,"₹12,600.00",4.5 - 5.0,https://assets-mkpbg.gem.gov.in/img/othe/6827336/1a/00/acertmp21454top.jpg.d2ff691a00.999x150x150.jpg
2, hp Intel Core i7 15.6 Inch Laptop ( Windows …,"₹12,998.16",4.5 - 5.0,https://assets-mkpbg.gem.gov.in/img/othe/6505504/9f/7c/250g9image.jpg.9abbb59f7c.999x150x150.jpg
3, hp Intel Core i5 14 Inch Laptop ( Windows 10 …,"₹15,000.00",4.0 - 4.49,https://assets-mkpbg.gem.gov.in/img/othe/6505504/a7/0f/440g9nb.jpg.5d1452a70f.999x150x150.jpg
4, hp Intel Core i5 14 Inch Laptop ( Windows 11 …,"₹18,000.00",,https://assets-mkpbg.gem.gov.in/img/othe/6505504/fd/fe/240g8front.jpg.67bde9fdfe.999x150x150.jpg
5, hp AMD Athlon 14 Inch Laptop ( DOS ),"₹18,000.00",,https://assets-mkpbg.gem.gov.in/img/othe/6505504/30/2e/247image.jfif.e6caee302e.999x150x150.jpg
6, acer Intel Core i5 14 Inch Laptop ( Windows …,"₹18,000.00",,https://assets-mkpbg.gem.gov.in/img/othe/6827336/1a/00/acertmp21454top.jpg.d2ff691a00.999x150x150.jpg
7, Coconics Intel Celeron 11.6 Inch Laptop ( …,"₹18,463.00",4.5 - 5.0,https://assets-mkpbg.gem.gov.in/img/othe/8208472/9f/b8/cnbicean10021lr.jpg.d66a039fb8.999x150x150.jpg
8, hp Intel Core i5 14 Inch Laptop ( Windows 11 …,"₹19,000.00",4.0 - 4.49,https://assets-mkpbg.gem.gov.in/img/othe/6505504/06/88/440g81.jpg.630f540688.999x150x150.jpg
9, hp AMD Athlon 14 Inch Laptop ( Windows 11 …,"₹20,250.00",,https://assets-mkpbg.gem.gov.in/img/othe/6505504/30/2e/247image.jfif.e6caee302e.999x150x150.jpg
10, AXL Intel Celeron 14 Inch Laptop ( Windows …,"₹20,999.00",3.0 - 3.49,https://assets-mkpbg.gem.gov.in/img/othe/5200513/b6/f3/front.jpg.f4e728b6f3.999x150x150.jpg
11, acer Intel Core i7 14 Inch Laptop ( Windows …,"₹94,997.99",4.5 - 5.0,https://assets-mkpbg.gem.gov.in/img/othe/6827336/1a/00/acertmp21454top.jpg.d2ff691a00.999x150x150.jpg
12, hp Intel Core i3 14 Inch Laptop ( Windows 11 …,"₹11,250.00",4.0 - 4.49,https://assets-mkpbg.gem.gov.in/img/othe/6505504/fd/fe/240g8front.jpg.67bde9fdfe.999x150x150.jpg
13, acer Intel Core i7 14 Inch Laptop ( Windows …,"₹12,600.00",4.5 - 5.0,https://assets-mkpbg.gem.gov.in/img/othe/6827336/1a/00/acertmp21454top.jpg.d2ff691a00.999x150x150.jpg
14, hp Intel Core i7 15.6 Inch Laptop ( Windows …,"₹12,998.16",4.5 - 5.0,https://assets-mkpbg.gem.gov.in/img/othe/6505504/9f/7c/250g9image.jpg.9abbb59f7c.999x150x150.jpg
15, hp Intel Core i5 14 Inch Laptop ( Windows 10 …,"₹15,000.00",4.0 - 4.49,https://assets-mkpbg.gem.gov.in/img/othe/6505504/a7/0f/440g9nb.jpg.5d1452a70f.999x150x150.jpg
