,Name,Price,Brand,Rating
0, hp Intel Core i3 14 Inch Laptop ( Windows 11 …,11250.0,hp,4.0 - 4.49
1, acer Intel Core i7 14 Inch Laptop ( Windows …,12000.0,acer,4.5 - 5.0
2, acer Intel Core i7 14 Inch Laptop ( Windows …,12600.0,acer,4.5 - 5.0
3, hp Intel Core i7 15.6 Inch Laptop ( Windows …,12998.16,hp,4.5 - 5.0
4, hp Intel Core i5 14 Inch Laptop ( Windows 11 …,18000.0,hp,
5, hp AMD Athlon 14 Inch Laptop ( DOS ),18000.0,hp,
6, acer Intel Core i5 14 Inch Laptop ( Windows …,18000.0,acer,
7, Coconics Intel Celeron 11.6 Inch Laptop ( …,18463.0,Coconics,4.5 - 5.0
8, hp AMD Athlon 14 Inch Laptop ( Windows 11 …,20250.0,hp,
9, AXL Intel Celeron 14 Inch Laptop ( Windows …,20999.0,AXL,3.0 - 3.49
10, Coconics Intel Celeron 11.6 Inch Laptop ( …,21009.0,Coconics,4.5 - 5.0
11, hp AMD Athlon 14 Inch Laptop ( Windows 11 …,22800.0,hp,
12, acer Intel Celeron 11.6 Inch Laptop ( …,23500.0,acer,4.5 - 5.0
13, acer Intel Celeron 11.6 Inch Laptop ( …,24000.0,acer,4.5 - 5.0
14, acer Intel Core i3 14 Inch Laptop ( Linux ),25000.0,acer,
15, hp AMD Ryzen 3 14 Inch Laptop ( DOS ),25978.0,hp,
16, acer AMD Ryzen 3 14 Inch Laptop ( Windows 11 …,25999.0,acer,
17, hp AMD Athlon 14 Inch Laptop ( Windows 11 …,26900.0,hp,4.5 - 5.0
18, acer Intel Celeron 11.6 Inch Laptop ( …,27000.0,acer,4.5 - 5.0
19, acer Intel Celeron 11.6 Inch Laptop ( …,27000.0,acer,4.5 - 5.0
20, acer AMD Ryzen 3 14 Inch Laptop ( Windows 11 …,27250.0,acer,4.5 - 5.0
21, acer Intel Core i3 14 Inch Laptop ( Windows …,27848.0,acer,3.5 - 3.99
22, acer Intel Pentium 14 Inch Laptop ( Windows …,27989.0,acer,4.0 - 4.49
23, acer Intel Celeron 14 Inch Laptop ( Windows …,56691.0,acer,3.5 - 3.99
24, acer AMD Ryzen 3 14 Inch Laptop ( Windows 11 …,28373.53,acer,4.5 - 5.0
25, hp AMD Athlon 14 Inch Laptop ( Windows 11 …,28376.0,hp,
26, acer AMD Ryzen 5 15.6 Inch Laptop ( Windows …,28400.0,acer,4.5 - 5.0
27, acer AMD Ryzen 5 14 Inch Laptop ( Windows 11 …,28400.0,acer,4.5 - 5.0
28, hp AMD Athlon 14 Inch Laptop ( DOS ),28698.0,hp,4.5 - 5.0
29, hp AMD Ryzen 3 14 Inch Laptop ( Windows 11 …,29000.0,hp,4.5 - 5.0
30, acer AMD Athlon 14 Inch Laptop ( Windows 11 …,29500.0,acer,
31, acer AMD Ryzen 3 14 Inch Laptop ( Windows 10 …,29990.0,acer,4.5 - 5.0
32, acer Intel Pentium 14 Inch Laptop ( Windows …,30999.0,acer,
33, hp AMD Ryzen 5 14 Inch Laptop ( Windows 10 …,31000.0,hp,
34, hp Intel Core i3 14 Inch Laptop ( Windows 11 …,58000.0,hp,4.0 - 4.49
35, acer Intel Celeron 14 Inch Laptop ( Windows …,70191.0,acer,3.5 - 3.99
